"Grammatical form","Ido","English","Esperanto"
"(libro)  (libro)  -o","book","(libro)  (libro) -o"
"(libri)  (libri) -i","books","(libroj)  (libroj) -oj"
"(varma)  (varma) -a","warm","(varma)  (varma) -a"
"(varme)  (varme) -e","warmly","(varme)  (varme) -e"
"(irar)  (irar) -ar","to be going","to go","(iranti)  (iranti) -anti","(iri)  (iri) -i"
"(irir)  (irir) -ir","to have gone","(irinti)  (irinti) -inti"
"(iror)  (iror) -or","to be going to go","(ironti)  (ironti) -onti"
"(iras)  (iras) -as","go, goes","(iras)  (iras) -as"
"(iris)  (iris) -is","went","(iris)  (iris) -is"
"(iros)  (iros) -os","will go","(iros)  (iros) -os"
"(irez)  (irez) -ez","go!","(iru)  (iru) -u"
"(irus)  (irus) -us","would go","(irus)  (irus) -us"
