"Asian interplanetary exploration probes"

"Nozomi","Mars","Orbiter","2003","M-V","Failure"
"Hayabusa","Asteroid:  Asteroid:  25143 Itokawa","Sample return","2005-7","M-V","Success"
"(PLANET-C)  (PLANET-C)  (PLANET-C)  (PLANET-C) Akatsuki (PLANET-C)  (PLANET-C)  (PLANET-C)  (PLANET-C) Akatsuki","Venus","Orbiter","2010","H-IIA 202","Failure Failure Failure Failure (Failed orbiter insertion)"
"2015","Success"
"IKAROS","Venus","Flyby","2010","Success"
"Shin'en","Venus","Flyby","2010","Failure"
"Yinghuo-1","Mars","Orbiter","2011","Zenit-2M","Failure"
"Chang'e 2","Asteroid:  Asteroid:  4179 Toutatis","Flyby","2012","Long March 3C","Success"
"Mars Orbiter Mission","Mars","Orbiter","2013-14","-XL  -XL  -XL  -XL PSLV","Success"
"Hayabusa2","Asteroid:  Asteroid:  162173 Ryugu","Sample return","2014-20","H-IIA 202","en route"
"PROCYON","Asteroid:  Asteroid:  2000 DP107","Flyby","2016","H-IIA 202","Failure"
"Mio","Mercury","Orbiter","2018-24","ECA   ECA   ECA   ECA Ariane 5","en route"
"Aditya-L1","Sun","Orbiter","2020","-XL  -XL  -XL  -XL PSLV","Planned"
"Mars Global Remote Sensing Orbiter and Small Rover","Mars","Orbiter/Rover","mid-2020","Long March 5","Planned"
"Hope Mars Mission","Mars","Orbiter","2020-21","H-IIA","Planned"
"DESTINY+","Asteroid:  Asteroid:  3200 Phaethon","Flyby","2022-26","Epsilon","Planned"
"Shukrayaan-1","Venus","Orbiter and aerobots","2023","GSLV MkIII","Planned"
"MMX","Mars","Orbiter","2024-2025","TBD","Planned"
"Phobos","Sample return","Planned"
"Mars Orbiter Mission 2","Mars","OrbiterLanderRover OrbiterLanderRover OrbiterLanderRover OrbiterLanderRover","TBD","MkII or    MkII or    MkII or    MkII or  GSLV  MkII or    MkII or    MkII or    MkII or  GSLVGSLV MkIII","Planned"
