
"Pe̍h-ōe-jī","a","ap","at","ak","ah","aⁿ","o͘","ok","oⁿ","o","o","e","eⁿ","i","ian","eng"
"Revised Revised TLPA","a","ap","at","ak","ah","aN","oo","ok","ooN","o","o","e","eN","i","ian","ing"
"TLPA","a","ap","at","ak","ah","ann","oo","ok","oonn","o","o","e","enn","i","ian","ing"
"BP","a","ap","at","ak","ah","na","oo","ok","noo","o","o","e","ne","i","ian","ing"
"MLT","a","ab/ap","ad/at","ag/ak","aq/ah","va","o","og/ok","vo","ø","ø","e","ve","i","ien","eng"
"DT","a","āp/ap","āt/at","āk/ak","āh/ah","ann/aⁿ","o","ok","onn/oⁿ","or","or","e","enn/eⁿ","i","ian/en","ing"
"Taiwanese kana","アア","アㇷ゚","アッ","アㇰ","アァ","アア","オオ","オㇰ","オオ","オオ","ヲヲ","エエ","エエ","イイ","イェヌ","イェン"
"Extended  Extendedbopomofo","ㄚ","ㄚㆴ","ㄚㆵ","ㄚㆶ","ㄚㆷ","ㆩ","ㆦ","ㆦㆶ","ㆧ","ㄜ","ㄛ","ㆤ","ㆥ","ㄧ","ㄧㄢ","ㄧㄥ"
"Tâi-lô","a","ap","at","ak","ah","ann","oo","ok","onn","o","o","e","enn","i","ian","ing"
"Example () Example () traditional Chinese","洲 洲 亞洲 洲 亞","力 力 壓力 力 壓","警 警 警 警 察","水 水 沃水 水 沃","牛 牛 牛 牛 肉","十 十 三十 十 三","色 色 烏色 色 烏","中 中 中 中 國","","洲 洲 澳洲 洲 澳","洲 洲 澳洲 洲 澳","晡 晡 下晡 晡 下","","學 學 醫學 學 醫","筆 筆 鉛筆 筆 鉛","國 國 英國 國 英"
"Example () Example () simplified Chinese","洲 洲 亚洲 洲 亚","力 力 压力 力 压","警 警 警 警 察","水 水 沃水 水 沃","牛 牛 牛 牛 肉","十 十 三十 十 三","色 色 乌色 色 乌","中 中 中 中 国","","洲 洲 澳洲 洲 澳","洲 洲 澳洲 洲 澳","晡 晡 下晡 晡 下","","学 学 医学 学 医","笔 笔 铅笔 笔 铅","国 国 英国 国 英"
