
"Pe̍h-ōe-jī","ek","iⁿ","ai","aiⁿ","au","am","om","m","ong","ng","u","oa","oe","oai","oan","i","(i)uⁿ"
"Revised Revised TLPA","ik","iN","ai","aiN","au","am","om","m","ong","ng","u","ua","ue","uai","uan","ir","(i)uN"
"TLPA","ik","inn","ai","ainn","au","am","om","m","ong","ng","u","ua","ue","uai","uan","ir","(i)unn"
"BP","ik","ni","ai","nai","au","am","om","m","ong","ng","u","ua","ue","uai","uan","i","n(i)u"
"MLT","eg/ek","vi","ai","vai","au","am","om","m","ong","ng","u","oa","oe","oai","oan","i","v(i)u"
"DT","ik","inn/iⁿ","ai","ainn/aiⁿ","au","am","om","m","ong","ng","u","ua","ue","uai","uan","i","(i)unn/uⁿ"
"Taiwanese kana","イェㇰ","イイ","アイ","アイ","アウ","アム","オム","ム","オン","ン","ウウ","ヲア","ヲエ","ヲァイ","ヲァヌ","ウウ","ウウ"
"Extended  Extendedbopomofo","ㄧㆶ","ㆪ","ㄞ","ㆮ","ㆯ","ㆰ","ㆱ","ㆬ","ㆲ","ㆭ","ㄨ","ㄨㄚ","ㄨㆤ","ㄨㄞ","ㄨㄢ","ㆨ","ㆫ"
"Tâi-lô","ik","inn","ai","ainn","au","am","om","m","ong","ng","u","ua","ue","uai","uan","ir","(i)unn"
"Example () Example () traditional Chinese","翻 翻 翻 翻 譯","病 病 病 病 院","情 情 愛情 情 愛","","洲 洲 歐洲 洲 歐","時 時 暗時 時 暗","","阿 阿 阿 阿 姆","梨 梨 王梨 梨 王","色 色 黃色 色 黃","無 無 有無 無 有","曲 曲 歌曲 曲 歌","講 講 講 講 話","奇 奇 奇 奇 怪","人 人 人 人 員","肉 肉 豬肉 肉 豬","水 水 舀水 水 舀"
"Example () Example () simplified Chinese","翻 翻 翻 翻 译","病 病 病 病 院","情 情 爱情 情 爱","","洲 洲 欧洲 洲 欧","时 时 暗时 时 暗","","阿 阿 阿 阿 姆","梨 梨 王梨 梨 王","色 色 黄色 色 黄","无 无 有无 无 有","曲 曲 歌曲 曲 歌","讲 讲 讲 讲 话","奇 奇 奇 奇 怪","人 人 人 人 员","肉 肉 猪肉 肉 猪","水 水 舀水 水 舀"
