
"Pe̍h-ōe-jī","p","b","ph","m","t","th","n","nng","l","k","g","kh","h","chi","ji","chhi","si","ch","j","chh","s"
"Revised Revised TLPA","p","b","ph","m","t","th","n","nng","l","k","g","kh","h","zi","ji","ci","si","z","j","c","s"
"TLPA","p","b","ph","m","t","th","n","nng","l","k","g","kh","h","zi","ji","ci","si","z","j","c","s"
"BP","b","bb","p","bb","d","t","n","lng","l","g","gg","k","h","zi","li","ci","si","z","l","c","s"
"MLT","p","b","ph","m","t","th","n","nng","l","k","g","kh","h","ci","ji","chi","si","z","j","zh","s"
"DT","b","bh","p","m","d","t","n","nng","l","g","gh","k","h","zi","r","ci","si","z","r","c","s"
"Taiwanese kana","パア","バア","パ̣ア","マア","タア","タ̣ア","ナア","ヌン","ラア","カア","ガア","カ̣ア","ハア","チイ","ジイ","チ̣イ","シイ","アアサ","ザア","アアサ̣","サア"
"Extended  Extendedbopomofo","ㄅ","ㆠ","ㄆ","ㄇ","ㄉ","ㄊ","ㄋ","ㄋㆭ","ㄌ","ㄍ","ㆣ","ㄎ","ㄏ","ㄐ","ㆢ","ㄑ","ㄒ","ㄗ","ㆡ","ㄘ","ㄙ"
"Tâi-lô","p","b","ph","m","t","th","n","nng","l","k","g","kh","h","tsi","ji","tshi","si","ts","j","tsh","s"
"Example () Example () traditional Chinese","紙 紙 報紙 紙 報","南 南 閩南 南 閩","通 通 普通 通 普","請 請 請 請 問","肉 肉 豬肉 肉 豬","普 普 普 普 通","過 過 過 過 年","雞 雞 雞 雞 卵","觀 觀 樂觀 觀 樂","值 值 價值 值 價","奶 奶 牛奶 奶 牛","廳 廳 客廳 廳 客","惱 惱 煩惱 惱 煩","持 持 支持 持 支","漢 漢 漢 漢 字","支 支 支 支 持","否 否 是否 否 是","報 報 報 報 紙","天 天 熱天 天 熱","加 加 參加 加 參","法 法 司法 法 司"
"Example () Example () simplified Chinese","纸 纸 报纸 纸 报","南 南 闽南 南 闽","通 通 普通 通 普","请 请 请 请 问","肉 肉 猪肉 肉 猪","普 普 普 普 通","过 过 过 过 年","鸡 鸡 鸡 鸡 卵","观 观 乐观 观 乐","值 值 价值 值 价","奶 奶 牛奶 奶 牛","厅 厅 客厅 厅 客","恼 恼 烦恼 恼 烦","持 持 支持 持 支","汉 汉 汉 汉 字","支 支 支 支 持","否 否 是否 否 是","报 报 报 报 纸","天 天 热天 天 热","加 加 参加 加 参","法 法 司法 法 司"
