"C++","Java"
"Extends  with  and . C code can most properly be used. Extends  with  and . C code can most properly be used. CExtends  with  and . C code can most properly be used. Extends  with  and . C code can most properly be used. Cobject-oriented programmingExtends  with  and . C code can most properly be used. Extends  with  and . C code can most properly be used. CExtends  with  and . C code can most properly be used. Extends  with  and . C code can most properly be used. Cobject-oriented programminggeneric programming","Strongly influenced by C++/C syntax."
"Compatible with  source code, except for a few . Compatible with  source code, except for a few . CCompatible with  source code, except for a few . Compatible with  source code, except for a few . Ccorner cases","Provides the  and recently  as a way to directly call C/C++ code. Provides the  and recently  as a way to directly call C/C++ code. Java Native InterfaceProvides the  and recently  as a way to directly call C/C++ code. Provides the  and recently  as a way to directly call C/C++ code. Java Native InterfaceJava Native Access"
"(WOCA).  (WOCA). Write once, compile anywhere","/everywhere (WORA/WORE). /everywhere (WORA/WORE). Write once, run anywhere"
"Allows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingfunctional programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingfunctional programmingobject-oriented programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingfunctional programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingfunctional programmingobject-oriented programminggeneric programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingfunctional programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingfunctional programmingobject-oriented programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingfunctional programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingAllows , , , , and . Favors a mix of paradigms. Allows , , , , and . Favors a mix of paradigms. procedural programmingfunctional programmingobject-oriented programminggeneric programmingtemplate metaprogramming","Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programminggeneric programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programminggeneric programmingobject-orientedAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programminggeneric programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programminggeneric programmingobject-orientedprogramming paradigmAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programminggeneric programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programminggeneric programmingobject-orientedAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programminggeneric programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingAllows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . Allows ,  (since Java 8) and  (since Java 5), but strongly encourages the  . Includes support for creating . procedural programmingfunctional programminggeneric programmingobject-orientedprogramming paradigmscripting languages"
"Runs as native executable machine code for the target (s). Runs as native executable machine code for the target (s). instruction set","Runs on a . Runs on a . virtual machine"
"Provides object types and type names. Allows reflection via  (RTTI). Provides object types and type names. Allows reflection via  (RTTI). run-time type information","Is , allowing metaprogramming and dynamic code generation at runtime. Is , allowing metaprogramming and dynamic code generation at runtime. reflective"
"Has multiple binary compatibility standards (commonly Microsoft (for MSVC compiler) and Itanium/GNU (for almost all other compilers)).","Has one binary compatibility standard,  for OS and compiler. Has one binary compatibility standard,  for OS and compiler. cross-platform"
"Optional automated  (e.g., the  method in  and  containers). Optional automated  (e.g., the  method in  and  containers). bounds checkingOptional automated  (e.g., the  method in  and  containers). Optional automated  (e.g., the  method in  and  containers). bounds checkingat()Optional automated  (e.g., the  method in  and  containers). Optional automated  (e.g., the  method in  and  containers). bounds checkingOptional automated  (e.g., the  method in  and  containers). Optional automated  (e.g., the  method in  and  containers). bounds checkingat()vectorOptional automated  (e.g., the  method in  and  containers). Optional automated  (e.g., the  method in  and  containers). bounds checkingOptional automated  (e.g., the  method in  and  containers). Optional automated  (e.g., the  method in  and  containers). bounds checkingat()Optional automated  (e.g., the  method in  and  containers). Optional automated  (e.g., the  method in  and  containers). bounds checkingOptional automated  (e.g., the  method in  and  containers). Optional automated  (e.g., the  method in  and  containers). bounds checkingat()vectorstring","All operations are required to be bound-checked by all compliant distributions of Java.  can remove bounds checking. All operations are required to be bound-checked by all compliant distributions of Java.  can remove bounds checking. HotSpot"
"Native  support. Native  support. unsigned arithmetic","Native unsigned arithmetic unsupported. Java 8 changes some of this, but aspects are unclear. Native unsigned arithmetic unsupported. Java 8 changes some of this, but aspects are unclear. [1]"
"Standardized minimum limits for all numerical types, but the actual sizes are implementation-defined. Standardized types are available via the standard library . Standardized minimum limits for all numerical types, but the actual sizes are implementation-defined. Standardized types are available via the standard library . <cstdint>","Standardized limits and sizes of all primitive types on all platforms."
