"Distribution","Founder","Maintainer","Initial release year","Current stable version","Security updates (years)","Release date","System distribution commitment","Forked from","Target audience","Cost","Status"
"Alpine Linux Team","Alpine Linux Team","2006","3.11.3 3.11.3 [2]","?","2019-06-13","X","LEAF Project","security, lightweight, general","Gratis","Active"
"ALT Linux Team","ALT Linux Team, ALT Linux LLC","2001","8.2 8.2 [3]","?","2013-07-10","X","Mandrake Linux","general, school","Gratis","Active"
"Anticapitalista","Anticapitalista","2007","17.4.1 17.4.1 [4]","?","2017-08-24","X","Debian, MEPIS","old computers","Some editions are gratis","Active"
"Willensky Aristide","Stan McLaren","2011","Rolling","Rolling","?","X","Arch Linux (UKM Edition)","general","Gratis","Active"
"Judd Vinet","dev team","2002","Rolling","Rolling","Rolling","X","Independent, inspired from CRUX","general","Gratis","Active"
"Brixton Linux Action Group","Brixton Linux Action Group","2002","140k","?","2011-05-04","100% Free:  100% Free:  GNU FSDG","Fedora","desktop","Gratis","Inactive"
"Bodhi Linux Team","Bodhi Linux Team","2011","5.0.0 5.0.0 [5]","?","2018-08-22","X","Debian, Ubuntu","desktop, lightweight","Gratis","Active"
"/ CNTI / CENTIDEL / Edelca /  / FUNDACITE / Free software community  / CNTI / CENTIDEL / Edelca /  / FUNDACITE / Free software community CANTV / CNTI / CENTIDEL / Edelca /  / FUNDACITE / Free software community  / CNTI / CENTIDEL / Edelca /  / FUNDACITE / Free software community CANTVVIT","/ CNTI / CENTIDEL / Edelca /  / FUNDACITE / Free software community  / CNTI / CENTIDEL / Edelca /  / FUNDACITE / Free software community CANTV / CNTI / CENTIDEL / Edelca /  / FUNDACITE / Free software community  / CNTI / CENTIDEL / Edelca /  / FUNDACITE / Free software community CANTVVIT","2007","6.0 6.0 [6]","?","2018-03-19","X","Debian, Ubuntu","Government of Venezuela","Gratis","Active"
"CentOS Project","CentOS Project","2003","8.0-1905","10 years 10 years [7]","2019-10-16","X","Red Hat Enterprise Linux (RHEL)","server, workstation","Gratis","Active"
"Jan Mette and Arch Linux KDEmod developers","The Chakra Project Team","2010","Rolling","Rolling","?","X","Arch Linux Arch Linux [8]","desktop","Gratis","Active"
"Sundar Pichai","Google","2009","75.0.3770.129 75.0.3770.129 [9]","6.5 years 6.5 years [10]","2019-07-09","X","Chromium OS","web applications","Gratis","Active"
"Peter Baldwin","ClearFoundation","2000","7.6.0 7.6.0 [11]","?","2019-05-09","X","RHEL, CentOS","server, gateway, network","Some editions are gratis","Active"
"Philip Newborough","Philip Newborough","2008","11 11 [12]","?","2013-05-06","X","Debian","desktop","Gratis","Inactive"
"John Andrews","dev team","2003","4.4.10 4.4.10 [13]","?","2008-11-18","X","Debian, Knoppix","lightweight, portable","Gratis","Active"
