"Distribution","Default  Default  Linux kernel","Default  Default  file system","Default  Default  init system","Install-time  or  selection Install-time  or  selection desktop environmentInstall-time  or  selection Install-time  or  selection desktop environmentwindow manager","Reproducible builds"
"Binary blobs","ext4","openrc","none","No"
"Binary blobs","ext3","systemd","KDE Plasma Workspaces,  KDE Plasma Workspaces,  Xfce","No"
"Binary blobs Binary blobs [82]","none none [83]","systemd","none","No"
"Linux-libre","ext3","sysvinit","GNOME","No"
"Binary blobs","ext4","systemd","Moksha ( fork) Moksha ( fork) Enlightenment","No"
"Binary blobs Binary blobs [82]","?","systemd","and   and  Cinnamon and   and  CinnamonMATE","No"
"Binary blobs Binary blobs [82]","xfs","systemd","GNOME","No"
"Binary blobs","ext4","systemd","KDE Plasma Workspaces","No"
"Binary blobs","ext3","systemd","none (Web based)","No"
"Binary blobs","ext4","systemd","None","No"
"Binary blobs","ext4","sysvinit","Openbox","No"
"Binary blobs","ext3","sysvinit","JWM","No"
"By default Linux-libre, but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally. Built with  tools. By default Linux-libre, but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally. Built with  tools. [82]By default Linux-libre, but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally. Built with  tools. By default Linux-libre, but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally. Built with  tools. [82]Linux-libreBy default Linux-libre, but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally. Built with  tools. By default Linux-libre, but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally. Built with  tools. [82]By default Linux-libre, but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally. Built with  tools. By default Linux-libre, but the Debian Project also hosts a non-free repository allowing blobs to be installed optionally. Built with  tools. [82]Linux-libre[84]","ext4","systemd","GNOME, , ,  GNOME, , ,  KDEGNOME, , ,  GNOME, , ,  KDEXfceGNOME, , ,  GNOME, , ,  KDEGNOME, , ,  GNOME, , ,  KDEXfceLXDEGNOME, , ,  GNOME, , ,  KDEGNOME, , ,  GNOME, , ,  KDEXfceGNOME, , ,  GNOME, , ,  KDEGNOME, , ,  GNOME, , ,  KDEXfceLXDE[85]","In progress In progress [86]In progress In progress [86][87]"
"Binary blobs","ext4","sysvinit","Xfce","No"
"Linux-libre","ext4","runit","Xfce","No"
"Linux-libre","?","systemd","GNOME","No"
"Binary blobs","ext4","systemd","GNOME (default Workstation Edition), Spins for: KDE Plasma Workspaces, Xfce, LXDE, MATE (with Compiz), Cinnamon,  GNOME (default Workstation Edition), Spins for: KDE Plasma Workspaces, Xfce, LXDE, MATE (with Compiz), Cinnamon,  Sugar on a Stick","In progress In progress [88]"
"Binary blobs","none","openrc","None","No"
