"Distribution","x86","x86-64","ia64","ppc  ppc[105]","ppc64","sparc32","sparc64","arm","hppa  hppa[106]","loongson","mips  mips[107]","sh","s390","s390x","alpha  alpha[108]","m68k  m68k[109]","riscv"
"Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","No"
"UnofficialOfficial discontinued 2017-11-08[110]  UnofficialOfficial discontinued 2017-11-08[110][111]","Yes","No","Discontinued unofficial port","No","No","No","Unofficial  Unofficial[112]","No","Discontinued. Unofficial port[113]","No","No","No","No","No","No"
"Discontinued from BackTrack 5 and superseded by Kali Linux  Discontinued from BackTrack 5 and superseded by Kali Linux[114]","Discontinued from BackTrack 5 and superseded by Kali Linux","No","No","No","No","No","Discontinued from BackTrack 5 and superseded by Kali Linux","No","No","No","No","No","No","No","No"
"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes","Yes","No","No","No","No","No","Discontinued2013-10-23  Discontinued2013-10-23[115]","No","No","No","No","No","No","No","No"
"Yes","Yes","No","Yes","Yes","No","No","?","No","No","No","No","No","No","No","No"
"AltArch","Yes","Discontinued3.5-3.84.1-4.7  Discontinued3.5-3.84.1-4.7[116]","Beta, Discontinued4.0","AltArch","Beta4.2  Beta4.2[116]  Beta4.2  Beta4.2[116][117]","No","AltArch","No","No","No","No","Discontinued3.5-3.84.1-4.7  Discontinued3.5-3.84.1-4.7[116]  Discontinued3.5-3.84.1-4.7  Discontinued3.5-3.84.1-4.7[116][118]","Discontinued3.5-3.84.1-4.7  Discontinued3.5-3.84.1-4.7[116]  Discontinued3.5-3.84.1-4.7  Discontinued3.5-3.84.1-4.7[116][118]","Discontinued4.2-4.3  Discontinued4.2-4.3[116]  Discontinued4.2-4.3  Discontinued4.2-4.3[116][119]  Discontinued4.2-4.3  Discontinued4.2-4.3[116]  Discontinued4.2-4.3  Discontinued4.2-4.3[116][119][120]","No"
"No","Yes","No","No","No","No","No","?","No","No","No","No","No","No","No","No"
"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes","Yes Yes Yes Yes 4.0+","Discontinued3.0-7.0  Discontinued3.0-7.0[122]","Discontinued2.2-8","Yes","Discontinued2.1-4.0  Discontinued2.1-4.0[123]","Discontinued-7  Discontinued-7[124]","Yes Yes Yes Yes 2.2+","Discontinued3.0-5.0","Yes","Yes Yes Yes Yes 3.0+","In progress","Discontinued3.0-7","Yes Yes Yes Yes 7+","Discontinued2.1-5.0","Discontinued2.0-3.1","In progress[125]"
"Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes","Yes","Discontinued from Fedora 9  Discontinued from Fedora 9[127]","Discontinued from Fedora 17","Yes","No","Inactive from Fedora 12  Inactive from Fedora 12[128]","Yes Yes [129]","No","In progress","Inactive from Fedora 13  Inactive from Fedora 13[130]","No","No","Yes","No","No","In progress[131]"
"Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes Yes [133]","Yes","Yes Yes [134]","Yes Yes [135]Yes Yes [135][136]","Yes","Yes","Yes","Yes","Yes","Test release  Test release[137]"
"Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No"
"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes","Yes","No","No","In progress[139]","No","No","No","No","No","No","No","No","No","No","No","In progress[140]"
"Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"No","No","No","No","No","No","No","No","No","No","Yes  Yes  XBurst","No","No","No","No","No"
"Yes Yes Yes Yes UnofficialYes Yes Yes Yes Unofficial[141]","Yes","No","No","No","No","No","Yes Yes Yes Yes UnofficialYes Yes Yes Yes Unofficial[142]","No","No","No","No","No","No","No","No"
"Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"Discontinued42.1","Yes","No","No No [144]","No No [144]","No","partial  partial[145]","partial  partial[146]","No","No","No","No","No","No","No","No"
"Yes","Yes","No","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","No","No"
"Yes","Yes","Discontinued5  Discontinued5[149]","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes","Yes","No","No","Test release[150]","No","No","Yes, ARMv7[151]","No","Discontinued[153]","Discontinued[153]","No","No","No","No","No","Test release[154]"
"Discontinued8.0  Discontinued8.0[155]","Discontinued8.0  Discontinued8.0[155]","Discontinued3  Discontinued3[156]","No","Discontinued3  Discontinued3[156]","No","No","No","No","No","No","No","No","No","No","No"
"Discontinued9.0","No","Discontinued7.1-7.2","Test release5.1  Test release5.1[158]","No","Discontinued4.0-4.25.1-6.2","Test release5.1  Test release5.1[158]","No","No","No","Test release5.1  Test release5.1[158]","No","Discontinued7.2","Yes","Discontinued2.1-7.1","Test release5.1  Test release5.1[158]"
"Discontinued2.1-6  Discontinued2.1-6[160]","Yes Yes Yes Yes 3+","Discontinued2.1-5  Discontinued2.1-5[161]","Yes Yes Yes Yes 3+","Yes Yes Yes Yes 3+","No","No","No","No","No","No","No","Discontinued3-4  Discontinued3-4[162]","Yes Yes Yes Yes 3+","No","No"
"Discontinued","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes","Yes","Discontinued3-4","No","No","No","No","No","No","No","No","No","No","No","No","No"
"No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"Yes","Yes","No","No","No","Discontinued?  Discontinued?[163]","No","Yes","No","No","No","No","Discontinued?  Discontinued?[164]","Discontinued?  Discontinued?[164]","Discontinued8.1  Discontinued8.1[165]","No"
"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Yes","Yes","No","Yes","No","No","No","No","No","?","No","No","No","No","No","No"
"Yes","Yes","Yes","Yes","Yes","No","No","AArch64 only[167]","No","No","No","No","No","Yes","No","No"
"Yes","Yes Yes [168]","No","No","No","No","No","No","No","No","Yes Yes [169]","No","No","No","No","No"
"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Selected ISOsavailable","Yes","No","No","No","No","No","No - but under development by community","No","No","No","No","No","No","No","No"
"Yes","Yes","No","Yes","Yes","No","No","Yes, including 64-bit  Yes, including 64-bit  ARMv8-A","No","No","No","No","No","Ubuntu only, 16.04+ [170]","No","No"
"Yes","Yes","No","No","No","No","No","No","No","In progress","No","No","No","No","No","No"
"Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"

