"Distribution","Free software repositories","Approximate number of pre-compiled  Approximate number of pre-compiled  packages","Approximate number of source packages","Default package management tool(s)","Package format","Default installer","installation process  installation process Graphical","Netinstall","Netboot"
"Free, and nonfree","8,135  8,135[171]","?","apk",".apk","setup-alpine","No","?","?"
"Free, and nonfree","8,300  8,300[172]","?","APT (), RPM APT (), RPM APT-RPM","RPM","","Yes","?","?"
"Free, and nonfree","10,700  10,700[173]","from   from  71,197 from   from  71,197AUR from   from  71,197 from   from  71,197AUR[174]","Pacman",".pkg.tar.xz","None (third-party install scripts only)","No","Yes","iPXE"
"Free only","10,000  10,000[175]","?","RPM, , APT RPM, , APT yum","RPM","","Yes","No","No"
"Free, and nonfree","35,000","?","APT",".dpkg","Ubiquity","Yes","?","?"
"Free, and nonfree","17,565  17,565[176]","?","RPM, yum/ RPM, yum/ up2date","RPM","Anaconda","Yes","Yes","?"
"Free, and nonfree","3,074  3,074[177]",": 4,663CCR  : 4,663CCR[178]","Pacman (will be replaced by Akabei in future)",".pkg.tar.xz","","Package manager in development","?","?"
"Free, and nonfree","?","?","RPM, yum","RPM","","No","?","?"
"Free, and nonfree","23,000","?","APT",".deb","","Yes","?","?"
"Free, and nonfree","610","?","myDSL, APT",".dsl, .tar.gz, .uci, .unc, .deb","","No","?","?"
"Free, and nonfree","89,103  89,103[179]","21,041  21,041[a]","APT",".deb","Debian-Installer","Yes","Yes","PXE"
"Free, and nonfree","?","?","APT",".deb","Debian-Installer","Yes","Yes","PXE"
"Free only","484","?","pkgsystem",".tlz","?","No","No","No"
"Free only","?","?","APT",".deb","Debian-Installer","Yes","No","No"
"Free, and nonfree","20,000    20,000[180]","25,041  25,041[181]",", yum,  , yum,  DNF, yum,  , yum,  DNFPackageKit","RPM","Anaconda","Yes","Yes","?"
"Free, and nonfree","108  108[182]","19,092  19,092[183]  19,092  19,092[183][b]","Portage","., .tbz2 ., .tbz2 ebuild","None (third-party install scripts only)","Yes Yes [c]","Yes","PXE"
"Free only","?","?","APT",".deb","Debian-Installer","Yes","Yes","No"
"Free, and nonfree","200","?","APT",".deb","","Yes","?","?"
"Free only","9,714  9,714[184]","9,714","Guix",",  ,  .scm,  ,  .scm.go","guix system init","Yes Yes [185]","Yes","No"
"Free only","14,494  14,494[186]","?","Pacman",".pkg.tar.xz","None (third-party install scripts only)","No","Yes","?"
"Free, and nonfree","3,600","?","APT",".deb","","No","?","?"
"Free only","826","?","?","?","","No","No","No"
"Free, and nonfree","50,781","?","APT",".deb","Ubiquity","Yes","?","?"
"Free, and nonfree","(i586),  (x86-64)  (i586),  (x86-64) 17,283 (i586),  (x86-64)  (i586),  (x86-64) 17,28311,409 (i586),  (x86-64)  (i586),  (x86-64) 17,283 (i586),  (x86-64)  (i586),  (x86-64) 17,28311,409[187]","8,834  8,834[188]",",  ,  urpmi,  ,  urpmirpmdrake","RPM","DrakX","Yes","Yes","?"
"Free, and nonfree","22,600","?","urpmi, rpmdrake","RPM","DrakX","Yes","?","?"
"Free, and nonfree","?","? from AUR ? from AUR [174]","Pacman",".pkg.tar.xz","Calamares  Calamares[189]","Yes Yes [190]","Yes","iPXE"
"Free, and nonfree","20,000","?","APT",".deb","MEPIS Install","Yes","?","?"
"Free only","1,819","?","APT",".deb","Debian-Installer","Yes","No","No"
