"Distribution","Compile time buffer checks","Mandatory access control","Software  Software  executable space protection","grsecurity","RSBAC"
"Yes Yes [213]","Unknown","PaX","Discontinued in 3.8.0","Unknown"
"Unknown","Unknown","Unknown","Unknown","Unknown"
"Yes",",  ,  SELinux,  ,  SELinuxAppArmor","PaX optional","Optional","Optional"
"Unknown","Unknown","Unknown","Unknown","Unknown"
"Unknown","Unknown","Unknown","Unknown","Unknown"
"Yes","SELinux  SELinux[214]","Exec Shield  Exec Shield[215]","No","No"
"Optional","SELinux, AppArmor","PaX optional","Optional","Optional"
"Unknown","SELinux, AppArmor SELinux, AppArmor [f]","Unknown","Unknown","Unknown"
"Unknown","Unknown","Unknown","Unknown","Unknown"
"Unknown","Unknown","Unknown","Unknown","Unknown"
"Unknown","AppArmor","Unknown","Unknown","Yes"
"Unknown","Unknown","Unknown","Unknown","Unknown"
"Unknown","Optional Optional [216]","Unknown","Optional Optional [216]","Unknown"
"Unknown","AppArmor, tomoyo","Unknown","Unknown","Optional"
"Yes","AppArmor AppArmor [217]","and other methods in mainline kernel and toolchain  and other methods in mainline kernel and toolchain Hardware NX and other methods in mainline kernel and toolchain  and other methods in mainline kernel and toolchain Hardware NX[218]","No","No"
"Yes","AppArmor","Unknown","No","Unknown"
"Unknown","Unknown","PaX","Yes","No"
"Unknown","SELinux, AppArmor SELinux, AppArmor [g]","Unknown","Unknown","Unknown"
"Unknown","Unknown","Unknown","Unknown","Unknown"
