"Rank","Country","U.S. equivalents","GDP (Billions of ) GDP (Billions of ) int$"
"1","China","      United States          United States          United States          United StatesCalifornia","23,159"
"2","India","California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFlorida                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFlorida                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFlorida                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFloridaIllinois                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFlorida                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFlorida                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFlorida                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFloridaIllinois                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFlorida                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFlorida                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFlorida                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFloridaIllinois                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFlorida                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFlorida                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFlorida                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew York                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexas                                            California                                            California                                            California                                            CaliforniaTexasNew YorkFloridaIllinoisOregon","9,459"
"3","Japan","California                            California                            California                            CaliforniaTexas                            California                            California                            California                            CaliforniaTexas                            California                            California                            California                            CaliforniaTexas                            California                            California                            California                            CaliforniaTexasNew York                            California                            California                            California                            CaliforniaTexas                            California                            California                            California                            CaliforniaTexas                            California                            California                            California                            CaliforniaTexas                            California                            California                            California                            CaliforniaTexasNew York                            California                            California                            California                            CaliforniaTexas                            California                            California                            California                            CaliforniaTexas                            California                            California                            California                            CaliforniaTexas                            California                            California                            California                            CaliforniaTexasNew York                            California                            California                            California                            CaliforniaTexas                            California                            California                            California                            CaliforniaTexas                            California                            California                            California                            CaliforniaTexas                            California                            California                            California                            CaliforniaTexasNew YorkFlorida","5,429"
"4","Germany","California                    California                    California                    CaliforniaTexas                    California                    California                    California                    CaliforniaTexas                    California                    California                    California                    CaliforniaTexas                    California                    California                    California                    CaliforniaTexasMississippi","4,170"
"5","Russia","California            California            California            CaliforniaTexas","4,007"
"6","Indonesia","California            California            California            CaliforniaMichigan","3,244"
"7","Brazil","California            California            California            CaliforniaMichigan","3,240"
"8","United Kingdom","California            California            California            CaliforniaUtah","2,914"
"9","France","California            California            California            CaliforniaHawaii","2,836"
"10","Mexico","Texas            Texas            Texas            TexasPennsylvania","2,458"
