"Afrikaans","Dutch","English"
"aand","avond","evening"
"aartappelskyfies","(aardappel)chips","potato chips  crisps  potato chips  crisps  (US)potato chips  crisps  potato chips  crisps  (US)potato chips  crisps  potato chips  crisps  (US)potato chips  crisps  potato chips  crisps  (US)(UK)potato chips  crisps  potato chips  crisps  (US)potato chips  crisps  potato chips  crisps  (US)potato chips  crisps  potato chips  crisps  (US)potato chips  crisps  potato chips  crisps  (US)(UK)"
"afkappingsteken, apostroof","weglatingsteken, afkappingsteken, apostrof","apostrophe"
"amper","bijna bijna  in some dialectsamper","nearly, almost"
"amptelik","officieel, ambtelijk","official"
"as","als","if"
"asem","adem adem ( also used in Belgium)asem","breath"
"asseblief","alsjeblieft, alstublieft","please"
"baadjie, jas","jasje, vest","jacket"
"baba","baby, kindje","baby"
"baie","heel, zeer, veel","very, much"
"bakkie","pick-up","pick-up truck"
"beeldpoetser","media-adviseur","media spokesperson press officer media spokesperson press officer"
"bergie","zwerver","vagrant"
"bestuurslisensie","rijbewijs","driving licence  driver's license  driving licence  driver's license  (UK)driving licence  driver's license  driving licence  driver's license  (UK)driving licence  driver's license  driving licence  driver's license  (UK)driving licence  driver's license  driving licence  driver's license  (UK)(US)"
"blokkiesraaisel","kruiswoordraadsel","crossword puzzle"
"bobbejaan","baviaan","baboon"
"bokkie","schatje, liefje","baby, darling"
"bolla","zoet broodje","bun"
"botsing","aanrijding","collision"
"braai","barbecue","barbecue"
"Brittanje","Groot-Brittannië","Britain, Great Britain"
"bromponie","bromfiets, scooter","moped, scooter"
"daardie, daai","die","that, those"
"dagga","marihuana","marijuana, cannabis"
"dankie","dank je/u, bedankt","thank you, thanks"
"deur","door","through, door"
"deurmekaar","doorelkaar doorelkaar ( also used in Belgium)doormekaar","mixed up, confused"
"die","de, het","the"
"duikweg","tunnel","tunnel, underpass"
"dwelms","drugs drugs  means ""intoxicate""bedwelmen","drugs"
"e-pos","e-mail","email"
"eiendoms beperk(Edms.) Bpk.eiendoms beperk(Edms.) Bpk.","besloten vennootschap (BV)","propriety limited (Pty.) Ltd. propriety limited (Pty.) Ltd."
"eksie-perfeksie","fantastisch","cool, great"
"ekskuus","excuus excuus similar pronunciation","sorry, apology"
"enigiets","nog iets","anything"
"enigiemand","iedereen","anyone"
"enjin","motor","engine"
"gatvol","zat zijn","fed up"
"geskenk","cadeau, kado ,cadeau, kado ,(also used in Afrikaans)cadeau, kado ,cadeau, kado ,(also used in Afrikaans)cadeau, kado ,cadeau, kado ,(also used in Afrikaans)cadeau, kado ,cadeau, kado ,(also used in Afrikaans) older termgeschenk","gift, present"
"glo","geloven","believe"
"gogga","insect","insect, bug"
"grasperk","gazon","lawn"
"grondboontjie","pinda, apennoot","peanut"
"grondboontjiebotter","pindakaas","peanut butter"
"gunsteling","favoriet favoriet  older termgunsteling","favourite"
"haas","konijn konijn  means ""hare""haas","rabbit"
"Heilsleër","Leger des Heils","Salvation Army"
"hierdie, dié","dit, deze","this, these"
"hoender","kip kip less common: hoen, hoender","chicken"
"hoekom?","hoezo? waarom?","how come? how so? why?"
"hoezit! (hoe is dit?)","hoe gaat het? hoe is het?","how's it going?"
"hoërskool","voortgezet onderwijs  secundair onderwijs voortgezet onderwijs  secundair onderwijs (Netherlands)voortgezet onderwijs  secundair onderwijs voortgezet onderwijs  secundair onderwijs (Netherlands)voortgezet onderwijs  secundair onderwijs voortgezet onderwijs  secundair onderwijs (Netherlands)voortgezet onderwijs  secundair onderwijs voortgezet onderwijs  secundair onderwijs (Netherlands)(Belgium)","high school, secondary school"
"Hollands (taal)","Nederlands (taal)","Dutch (language)"
"horlosie","horloge","watch"
"hospitaal","ziekenhuis, hospitaal, gasthuis","hospital"
"hysbak","lift","lift, elevator"
"inskrywing","abonnement, inschrijving","subscription"
"jol","leukheid","fun, party"
"Julie","juli","July"
"Junie","juni","June"
"kaartjie","ticket ticket ticket ticket ( also used in compounds (e.g., , , etc.)kaartje","ticket"
"kameelperd","giraffe","giraffe"
"kampanje","campagne campagne similar pronunciation","campaign"
"Kanada","Canada","Canada"
"Kersfees","Kerstmis  KerstfeestKerstmis  Kerstfeest(Catholic)Kerstmis  KerstfeestKerstmis  Kerstfeest(Catholic)Kerstmis  KerstfeestKerstmis  Kerstfeest(Catholic)Kerstmis  KerstfeestKerstmis  Kerstfeest(Catholic) (Protestant)","Christmas"
"kitsbank","geldautomaat, bankautomaat","cash machine, ATM"
"koerant","krant krant  older termcourant","newspaper"
"kombuis","keuken keuken  means ""galley"".kombuis","kitchen"
"konserwatief","conservatief","conservative"
"kopiereg","kopierecht, copyright, auteursrecht","copyright"
"landdros","magistraat","magistrate"
"lê","leggen","lie, lay"
"leër","landmacht, leger","army"
"lemmetjie","limoen","lime"
"lemoen","sinaasappel","orange"
"Lid van Parlement (LP)","parlementslid, kamerlid","Member of Parliament (MP)"
"lirieke","songtekst","lyrics"
"lokprent","trailer","film trailer"
"lugmag","luchtmacht","air force"
"lughawe","luchthaven","airport"
"lugpos","luchtpost","airmail"
"lugredery","luchtvaartmaatschappij","airline"
"lugwardin","stewardess","air hostess air stewardess air hostess air stewardess"
"maalvleis","gehakt","mincemeat"
"mal oor","gek op","mad about"
