"Tone name","Yin level陰平(1)Yin level陰平(1)","Yin rising陰上(2)Yin rising陰上(2)","Yin departing陰去(3)Yin departing陰去(3)","Yin entering陰入(4)Yin entering陰入(4)","Yang level陽平(5)Yang level陽平(5)","Yang rising陽上(6)Yang rising陽上(6)","Yang departing陽去(7)Yang departing陽去(7)","Yang entering陽入(8)Yang entering陽入(8)","High rising(9)High rising(9)","Neutral tone(0) Neutral tone(0)"
"IPA","a˥","a˥˧","a˨˩","ap˩ap˩ap˩ap˩at˩ap˩ap˩ap˩ap˩at˩ap˩ap˩ap˩ap˩at˩ap˩ap˩ap˩ap˩at˩ak˩ap˩ap˩ap˩ap˩at˩ap˩ap˩ap˩ap˩at˩ap˩ap˩ap˩ap˩at˩ap˩ap˩ap˩ap˩at˩ak˩ap˩ap˩ap˩ap˩at˩ap˩ap˩ap˩ap˩at˩ap˩ap˩ap˩ap˩at˩ap˩ap˩ap˩ap˩at˩ak˩ap˩ap˩ap˩ap˩at˩ap˩ap˩ap˩ap˩at˩ap˩ap˩ap˩ap˩at˩ap˩ap˩ap˩ap˩at˩ak˩aʔ˩","a˧˥","a˥˧","a˧","ap˥ap˥ap˥ap˥at˥ap˥ap˥ap˥ap˥at˥ap˥ap˥ap˥ap˥at˥ap˥ap˥ap˥ap˥at˥ak˥ap˥ap˥ap˥ap˥at˥ap˥ap˥ap˥ap˥at˥ap˥ap˥ap˥ap˥at˥ap˥ap˥ap˥ap˥at˥ak˥ap˥ap˥ap˥ap˥at˥ap˥ap˥ap˥ap˥at˥ap˥ap˥ap˥ap˥at˥ap˥ap˥ap˥ap˥at˥ak˥ap˥ap˥ap˥ap˥at˥ap˥ap˥ap˥ap˥at˥ap˥ap˥ap˥ap˥at˥ap˥ap˥ap˥ap˥at˥ak˥aʔ˥","a˥˥","a˨"
"Pe̍h-ōe-jī","a","á","à","apatakahapatakahapatakahapatakahapatakahapatakahapatakahapatakah","â","á","ā","a̍pa̍ta̍ka̍ha̍pa̍ta̍ka̍ha̍pa̍ta̍ka̍ha̍pa̍ta̍ka̍ha̍pa̍ta̍ka̍ha̍pa̍ta̍ka̍ha̍pa̍ta̍ka̍ha̍pa̍ta̍ka̍h"," ","--a"
"Revised,Revised,Revised,Revised,TLPARevised,Revised,Revised,Revised,TLPARevised,Revised,Revised,Revised,TLPARevised,Revised,Revised,Revised,TLPATLPA","a1","a2","a3","ap4at4ak4ah4ap4at4ak4ah4ap4at4ak4ah4ap4at4ak4ah4ap4at4ak4ah4ap4at4ak4ah4ap4at4ak4ah4ap4at4ak4ah4","a5","a2 (6=2)","a7","ap8at8ak8ah8ap8at8ak8ah8ap8at8ak8ah8ap8at8ak8ah8ap8at8ak8ah8ap8at8ak8ah8ap8at8ak8ah8ap8at8ak8ah8","a9","a0"
"BP","ā","ǎ","à","āpātākāhāpātākāhāpātākāhāpātākāhāpātākāhāpātākāhāpātākāhāpātākāh","á","ǎ","â","ápátákáhápátákáhápátákáhápátákáhápátákáhápátákáhápátákáhápátákáh"," "," "
"MLTMLT","af","ar","ax","abadagaqabadagaqabadagaqabadagaqabadagaqabadagaqabadagaqabadagaq","aa","aar","a","apatakahapatakahapatakahapatakahapatakahapatakahapatakahapatakah"," ","~a"
"DT","a","à","â","āpātākāhāpātākāhāpātākāhāpātākāhāpātākāhāpātākāhāpātākāhāpātākāh","ǎ","à","ā","apatakahapatakahapatakahapatakahapatakahapatakahapatakahapatakah","á","å"
"(normal vowels)(normal vowels)Taiwanese kana(normal vowels)(normal vowels)Taiwanese kana","アア","アアアア","アアアア","アㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァ","アアアア","アアアア","アアアア","アㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァ"," "," "
"(nasal vowels)(nasal vowels)Taiwanese kana(nasal vowels)(nasal vowels)Taiwanese kana","アアアア","アアアア","アアアア","アㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァ","アアアア","アアアア","アアアア","アㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァアㇷ゚アッアㇰアァ"," "," "
"Extended  Extendedbopomofo","ㄚ","ㄚˋ","ㄚ˪","ㄚㆴㄚㆵㄚㆶㄚㆷㄚㆴㄚㆵㄚㆶㄚㆷㄚㆴㄚㆵㄚㆶㄚㆷㄚㆴㄚㆵㄚㆶㄚㆷㄚㆴㄚㆵㄚㆶㄚㆷㄚㆴㄚㆵㄚㆶㄚㆷㄚㆴㄚㆵㄚㆶㄚㆷㄚㆴㄚㆵㄚㆶㄚㆷ","ㄚˊ","ㄚˋ","ㄚ˫","ㄚㆴ˙ㄚㆵ˙ㄚㆶ˙ㄚㆷ˙ㄚㆴ˙ㄚㆵ˙ㄚㆶ˙ㄚㆷ˙ㄚㆴ˙ㄚㆵ˙ㄚㆶ˙ㄚㆷ˙ㄚㆴ˙ㄚㆵ˙ㄚㆶ˙ㄚㆷ˙ㄚㆴ˙ㄚㆵ˙ㄚㆶ˙ㄚㆷ˙ㄚㆴ˙ㄚㆵ˙ㄚㆶ˙ㄚㆷ˙ㄚㆴ˙ㄚㆵ˙ㄚㆶ˙ㄚㆷ˙ㄚㆴ˙ㄚㆵ˙ㄚㆶ˙ㄚㆷ˙"," "," "
"Tâi-lô","a","á","à","ah","â","á (ǎ)","ā","a̍h","a̋","--a"
