"Flag","Country","IOC","FIFA","ISO"
"","British Honduras","HBRHBRHBRHBR1972","BHOBHOBHOBHO ",""
"","Burma","BIRBIRBIRBIR1988","BURBURBURBUR1989","BUR BUR BUR BUR 1989"
"","Ceylon","CEYCEYCEYCEY1972","CEYCEYCEYCEY1972",""
"","Dahomey","DAHDAHDAHDAH1972","DAHDAHDAHDAH1975","DHY DHY DHY DHY 1977"
"","Czechoslovakia","TCHTCHTCHTCH1992","TCHTCHTCHTCH1993","CSK CSK CSK CSK 1993"
"","East Germany","GDRGDRGDRGDR1988","DDRDDRDDRDDR1989","DDR DDR DDR DDR 1989"
"","Khmer Republic","KHMKHMKHMKHM1976","????1975",""
"","Malaya","MALMALMALMAL1960","????1963",""
"","Netherlands Antilles","AHOAHOAHOAHO2011","ANTANTANTANT2011","ANT ANT ANT ANT 2010"
"","North Borneo","NBONBONBONBO1956","NBONBONBONBO1963",""
"","North Yemen","YARYARYARYAR1988","NYENYENYENYE1990","YEM YEM YEM YEM 1990"
"","Northern Rhodesia","NRHNRHNRHNRH1964","NRHNRHNRHNRH1964",""
"","Rhodesia","RHORHORHORHO1972","RHORHORHORHO1980","RHO RHO RHO RHO 1980"
"","Serbia and Montenegro","SCGSCGSCGSCG2006","SCGSCGSCGSCG2006","SCG SCG SCG SCG 2006"
"","South Yemen","YMDYMDYMDYMD1988","SYESYESYESYE1990","YMD YMD YMD YMD 1990"
"","Soviet Union","URSURSURSURS1988","URSURSURSURS1991","SUN SUN SUN SUN 1992"
"","Upper Volta","VOLVOLVOLVOL1984","UPVUPVUPVUPV1984","HVO HVO HVO HVO 1984"
"","Viet-Nam, Democratic Republic of","","VNOVNOVNOVNO1975","VDR VDR VDR VDR 1977"
"","Viet Nam, Republic of","VNMVNMVNMVNM1976","VSOVSOVSOVSO1975","VNM VNM VNM VNM 1977"
"","West Germany","FRGFRGFRGFRG1988","FRGFRGFRGFRG1989","DEU DEU DEU DEU 1989"
"","Yugoslavia, Federal Republic of","YUGYUGYUGYUG2002","YUGYUGYUGYUG2003","YUG YUG YUG YUG 2003"
"","Yugoslavia, Socialist Federal Republic of","YUGYUGYUGYUG1992","YUGYUGYUGYUG1992","YUG YUG YUG YUG 1992"
"","Zaire","ZAIZAIZAIZAI1996","ZAIZAIZAIZAI1997","ZAR ZAR ZAR ZAR 1997"
